start_time,end_time,start_ind,end_ind,type,notes
1784729914652000,1784729914802000,635,650,swing,LEFT_FOOT
1784729914882000,1784729915172000,658,687,swing,LEFT_FOOT
1784729915277000,1784729916007000,692,765,swing,RIGHT_FOOT
1784729915873000,1784729916393000,757,809,swing,LEFT_FOOT
1784729916448000,1784729917138000,809,878,swing,RIGHT_FOOT
1784729916994000,1784729917524000,869,922,swing,LEFT_FOOT
1784729917599000,1784729918269000,924,991,swing,RIGHT_FOOT
1784729918125000,1784729918635000,982,1033,swing,LEFT_FOOT
1784729918700000,1784729919381000,1034,1102,swing,RIGHT_FOOT
1784729919216000,1784729919877000,1091,1157,swing,LEFT_FOOT
1784729919771000,1784729920432000,1141,1207,swing,RIGHT_FOOT
1784729920297000,1784729920938000,1199,1263,swing,LEFT_FOOT
1784729920852000,1784729921503000,1249,1314,swing,RIGHT_FOOT
1784729921358000,1784729921869000,1305,1356,swing,LEFT_FOOT
1784729921923000,1784729922604000,1356,1424,swing,RIGHT_FOOT
1784729922479000,1784729923000000,1417,1469,swing,LEFT_FOOT
1784729923060000,1784729923200000,1475,1489,swing,LEFT_FOOT
1784729923134000,1784729923855000,1477,1549,swing,RIGHT_FOOT
1784729923911000,1784729924361000,1560,1605,swing,LEFT_FOOT
1784729924566000,1784729924836000,1620,1647,swing,RIGHT_FOOT
